label,marks_total,n_projects,top_ee_ensemble,ee_key
Compteur INT,63,1,,
FIXT TYPE D2A,63,2,,
FIXT TYPE G1,62,5,,
K,62,8,,
FIXT TYPE AA,62,3,,
L 3VOIE,62,1,,
PRISE 5-15R,62,1,,
HP 23,62,1,,
DEMOLITION,62,1,,
TV-,62,2,,
ADD4 2X4 RELO,61,1,,
FIXT TYPE L4B,61,3,,
FIXT EXIST 2X4,61,1,,
PRISE RELO,61,5,,
12 ETAGE TEL,61,1,,
N GFI,61,3,,
DETECTEUR CHALEUR,61,3,,
3 DETECTEUR OCCUP,61,1,,
GFI 15/20,61,5,,
REIST,61,1,,
52171K,61,1,,
GRADATEUR 1,61,1,,
Type E,60,3,,
HORLOGE,60,5,,
20,60,6,,
R,60,4,,
TYPE L8,60,2,,
DETECTEUR PHOTOCELL,60,1,,
ETAG SS1 STRIP,60,1,,
LOG TEL,60,1,,
HP 10,60,1,,
C L2,60,1,,
Prise 15A Surf,60,1,,
EXISTANT TEL POMPIER,60,1,,
FIXT TR5YPE STRIP ENL,60,1,,
ENL TETE SIMPLE,60,1,,
FIXT TYPE E2 RELO,60,2,,
AD E2 RELO,60,2,,
LUT  0/10V,60,1,,
Tel to remove,59,2,,
Type P2,59,2,,
INT/PR/GR,59,1,,
FIXT TYPE B1 INT,59,1,,
DECT MU,59,1,,
FIXT TYPE LR2A,59,1,,
TYPE LR2A,59,1,,
FIXT TYPE AW,59,1,,
Compteur 9,59,5,,
GRADATEUR DT,59,2,,
ORISE,59,1,,
N 1000W,59,2,,
hp 14,59,1,,
TEL ENL,59,1,,
SERV DECT,59,1,,
VCFF,59,3,,
Type A1,58,3,,
INT DECT PRESENCE,58,1,,
FIXT TYPE LS2B,58,1,,
TYPE LS2B,58,1,,
TYPE G,58,3,,
TYPE L2,58,2,,
6,58,5,,
FIXT TYPE E1B,58,1,,
ETAG 2 PLAF,58,1,,
FIXTR TYPE G,58,3,,
FIXT TYPE 4 pi,58,2,,
ADD1 SFD,58,1,,
WSP,58,1,,
PRISE EXIANT A ENLEVER,58,2,,
P1000,58,1,,
SEC INTERC,58,1,,
CH1,58,2,,
BOITE 8X8X4,58,2,,
FIXT LT-2B,58,2,,
POMPE,57,13,,
FIXT TYPE F3,57,4,,
HAUT PARLEUR PL,57,4,,
DEFROST,57,1,,
B INT,57,4,,
HP 9,57,1,,
ENCASTRE PASSAGE,57,1,,
COMM TYPE L2,57,1,,
Type L4.2,56,1,,
